,C1,C4,C5,C6,C3_impute,C7_impute,C5`,T1prime,T2prime,T3prime,T4prime,T5prime,S1prime,S2prime,S3prime,Y1,Y2
0,122.0,0.029074273483673547,40962052.0,10600000.0,3.43,51.345,3.8643445283018867,0.6404255319148936,0.054249547920433995,0.9088764840003145,1.5614617940199336,0.054249547920433995,0.004874597059517258,0.009198836386508374,0.01092853211730482,0,1
1,259.0,-0.013351642245815755,28869196.0,2400000.0,-1.62,25.936,12.028831666666667,0.6447534766118836,0.0513950073421439,0.898724302496329,1.5509803921568628,0.0513950073421439,0.0032580763582966228,0.011104992657856094,0.010875550660792951,1,0
2,90.0,0.02071500183158597,16845668.0,5000000.0,-1.24,7.378,3.3691336,0.6368159203980099,0.06176358798935766,0.9093500570125428,1.5703125,0.06176358798935766,0.011592550361079437,0.006271379703534778,0.011402508551881414,1,0
3,209.0,0.020023137256796594,14848637.0,4500000.0,-0.91,8.526,3.299697111111111,0.5396341463414634,0.06162973725632643,0.9170601767768495,1.8531073446327684,0.06162973725632643,0.00968640271219276,0.00714372200024216,0.013318803729265045,1,0
4,80.0,-0.034894701316965815,30741716.0,8250000.0,0.07,632.298,3.7262686060606063,0.5874125874125874,0.048550236008091704,0.8884693189480782,1.7023809523809523,0.048550236008091704,0.004517869184086311,0.0100472016183412,0.011260957518543493,0,1
5,94.0,-0.057556076660705446,42402916.0,7407407.0,0.06,197.591,5.724393974841669,0.6431372549019608,0.04528029334963053,0.7741541196733152,1.5548780487804879,0.04528029334963053,0.003444635813100728,0.00533362964609145,0.010056114228568254,0,0
6,128.0,0.004105524336536758,19047022.0,5500000.0,-1.87,5.146,3.463094909090909,0.7656565656565657,0.04429496128950374,0.8854550069805813,1.3060686015831136,0.04429496128950374,0.005203706054067775,0.006726741972331514,0.008567077040233533,1,0
7,91.0,0.040619988496656566,19371750.0,8000000.0,-0.74,False,2.42146875,0.8263473053892215,0.055852485301977554,0.8957776590058792,1.210144927536232,0.055852485301977554,0.004899340815962943,0.010689470871191877,0.010867628719045074,1,0
8,100.0,-0.02931592628539684,52982501.0,11000000.0,-0.51,279.6,4.816591,0.5403225806451613,0.06190508337271316,0.9088638358198879,1.8507462686567164,0.06190508337271316,0.003915479646256667,0.0083710254506177,0.01579693512455276,1,0
9,106.0,-0.02492507736968316,33622690.0,11000000.0,1.49,494.008,3.0566081818181816,0.5142857142857142,0.050251806437486314,0.8875629516093716,1.9444444444444444,0.050251806437486314,0.00886796584190935,0.009853295379899277,0.01609371578716882,1,0
